x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	y
0.45749134	0.110060334	0.49692506	0.084977865	0.3924346	0.7897731	0.15232486	0.16297412	0.37791175	0.36293298	0.026216295
0.5846437	0.5830078	0.75354826	0.15555972	0.4647144	0.7796456	0.93248576	0.46352726	0.2106899	0.6437313	-0.26480418
0.78473866	0.18762505	0.20985329	0.7209991	0.464967	0.02775067	0.21170747	0.7027664	0.33041215	0.8451145	-0.80907094
0.89526993	0.57273495	0.46046263	0.34128642	0.47471708	0.59101045	0.11807448	0.38050216	0.08409953	0.80687743	0.056280147
0.18158185	0.9567719	0.3711096	0.21356237	0.74022657	0.57453954	0.846228	0.70873487	0.018330276	0.8162452	-0.31966782
0.40584308	0.27901447	0.81752694	0.86466515	0.060534656	0.45478833	0.9106033	0.6936434	0.92123467	0.32865065	0.063777365
0.22417879	0.9299548	0.70841146	0.97999126	0.2911517	0.17896658	0.44139355	0.029210031	0.6959876	0.8687942	-0.48707658
0.62002844	0.45059657	0.74790317	0.18262434	0.98912156	0.0028281808	0.021027386	0.38184917	0.90842223	0.5500629	-0.67676526
0.69202286	0.13349658	0.6823429	0.44412827	0.7004118	0.8531213	0.7173401	0.4574679	0.46920043	0.18640989	-0.3038695
0.31914896	0.82491904	0.29950172	0.8105199	0.30173403	0.38355058	0.5106411	0.04116726	0.49500751	0.44960213	-0.11643874
0.45508182	0.4000479	0.89418864	0.8689936	0.16112137	0.7322634	0.10780871	0.07433933	0.652841	0.50734824	0.43295
0.26674682	0.017748117	0.30643195	0.66699976	0.03719926	0.014267266	0.56343627	0.13979793	0.061959863	0.3073569	-0.34157836
0.41949958	0.045647383	0.16613615	0.5327839	0.028514147	0.4297228	0.17714864	0.15338135	0.6965155	0.11515516	0.12933832
0.1210829	0.78514075	0.59348315	0.9553564	0.36635226	0.25849247	0.45372677	0.5025297	0.88132215	0.0019600391	-0.1769945
0.46439964	0.7211761	0.22465849	0.2459296	0.7416339	0.020907402	0.6184779	0.112906754	0.7485309	0.072479784	0.26249126
0.8074024	0.026683688	0.07971662	0.50736845	0.8939942	0.0718022	0.27697015	0.9391413	0.4161513	0.7071423	-0.87668175
0.019000888	0.34275955	0.24608392	0.9215306	0.70751995	0.13516217	0.5806135	0.49425328	0.29456508	0.21446168	-0.52601194
0.3340807	0.89411324	0.14157385	0.14382833	0.34574044	0.50869817	0.63610595	0.51500404	0.37963718	0.19682491	0.2760185
0.41028368	0.29872334	0.9039644	0.013295233	0.1810705	0.093204916	0.4086216	0.8896367	0.9382696	0.06472236	0.36498275
0.47833657	0.7934831	0.7203987	0.9095519	0.4861309	0.16405362	0.83076525	0.3285427	0.7588931	0.37678176	-0.085686035
0.71254706	0.949713	0.96492773	0.044967473	0.16925985	0.2932666	0.18114948	0.97975004	0.4558406	0.16832972	0.5693311
0.27750528	0.2238177	0.7039947	0.06387442	0.033798456	0.007119417	0.71526206	0.7472273	0.18946046	0.6239893	-0.005415408
0.86909235	0.5726507	0.3942092	0.5369412	0.44638616	0.7517496	0.16049433	0.75355124	0.7818118	0.19706267	0.002969943
0.9082818	0.9910924	0.30288565	0.3599528	0.74917775	0.10828978	0.697729	0.61665237	0.81516486	0.0656966	-0.0763567
0.0846076	0.72456455	0.6801054	0.034616888	0.22117025	0.042510748	0.14178854	0.27440017	0.91376925	0.40047455	0.108022325
0.7871756	0.97484046	0.7278661	0.052394807	0.75161135	0.6907173	0.8875328	0.0067828894	0.807508	0.9092707	-0.44526294
0.034817636	0.55231315	0.92683655	0.13634592	0.66405964	0.7209387	0.63104504	0.9971379	0.9093898	0.9289774	-0.56935835
0.4376766	0.9193563	0.03404367	0.23018533	0.39305943	0.3514716	0.96184736	0.73583263	0.8219065	0.8401047	0.09277131
0.12649822	0.4420895	0.5730123	0.63004625	0.7571163	0.3010466	0.3492328	0.91837066	0.36580783	0.15267932	-0.6688187
0.8390199	0.83857775	0.34321654	0.40003997	0.13106	0.08245313	0.68802476	0.28640372	0.89804775	0.09964341	0.73999536
0.43088746	0.5107959	0.75697356	0.90466535	0.83860224	0.720098	0.2705031	0.14292616	0.052693605	0.5248023	0.55614173
0.9849401	0.40502876	0.47895074	0.136653	0.65350485	0.8169917	0.0070420504	0.1479389	0.8703539	0.6183823	-0.2730861
0.46882695	0.58937913	0.42397904	0.15051752	0.032785058	0.82885396	0.44053167	0.31430638	0.3709424	0.22728848	0.18078728
0.35190833	0.070792794	0.8741718	0.70417124	0.24783927	0.32934338	0.72431874	0.3148473	0.63184685	0.63767076	0.5907787
0.18525338	0.62525076	0.5305921	0.93669194	0.31909	0.37146574	0.9308003	0.091698825	0.5361242	0.98175114	-0.8003978
0.27581602	0.9793411	0.94367033	0.96516985	0.45228845	0.95231664	0.2821403	0.3288474	0.6891163	0.6056236	0.4040902
0.7756378	0.97515965	0.18700546	0.76536334	0.6672823	0.76378405	0.7370862	0.31296504	0.10482198	0.9001924	-0.8337337
0.2148822	0.8196636	0.023678243	0.41349882	0.50529945	0.5865118	0.540416	0.65755314	0.4443277	0.6224522	0.02160693
0.99479216	0.17647398	0.4727016	0.30913848	0.9387148	0.92801994	0.48636538	0.3266837	0.19106692	0.8577698	-1.0960151
0.46556818	0.97090477	0.785131	0.9376523	0.8954618	0.17507887	0.6463511	0.29267055	0.7508766	0.4550451	0.23651372
0.54328495	0.1541956	0.053137183	0.6882865	0.6161927	0.5434314	0.8395973	0.2912128	0.6774904	0.22461921	0.49107775
0.60359997	0.38585073	0.85016334	0.93724126	0.93426186	0.5224921	0.79484653	0.00043082237	0.20670289	0.5893616	0.64978844
0.5027885	0.10746354	0.2786942	0.26647294	0.0046189427	0.5476854	0.840847	0.7029317	0.26243353	0.04086739	-0.07758728
0.0966115	0.5092746	0.84395665	0.29751372	0.2279275	0.23327178	0.45671564	0.02517265	0.05877775	0.9921953	-0.5615426
0.26154196	0.40981817	0.36622363	0.06074691	0.41185343	0.65305835	0.2969712	0.4786901	0.49760824	0.002247572	0.44967085
0.8633582	0.9038864	0.84090275	0.33580083	0.7612816	0.031538785	0.37630665	0.39830786	0.32342517	0.71000004	-0.24705118
0.27217108	0.44204807	0.3556233	0.03045851	0.4174297	0.07626188	0.79155207	0.76723146	0.968396	0.3320986	-0.19422421
0.5254261	0.59794533	0.99910927	0.9583067	0.24123025	0.07454866	0.049355865	0.25922012	0.9203933	0.6679248	0.02788441
0.9824266	0.8706104	0.5072488	0.1901123	0.9882503	0.9010856	0.7164715	0.22686827	0.89388967	0.54550797	-0.8516173
0.83061695	0.7086834	0.7655042	0.06126201	0.22275943	0.79988575	0.39583206	0.06501013	0.95469964	0.48918724	0.65115756
0.90334195	0.1091916	0.6721469	0.31166565	0.28959233	0.39571512	0.31492704	0.7739801	0.40500045	0.87910885	-1.5542668
0.6140916	0.42274237	0.2112003	0.04216349	0.35413885	0.036984205	0.40736467	0.50817215	0.4677781	0.25439155	0.12760527
0.84703183	0.7815899	0.37681144	0.30244708	0.81434506	0.93501216	0.042180717	0.3919704	0.45359892	0.31896955	-0.19265309
0.92685455	0.4261443	0.92392427	0.5024718	0.44576436	0.20834917	0.3337468	0.6611148	0.72116876	0.48220992	-0.13051336
0.9764214	0.15393358	0.6917067	0.9503378	0.41305882	0.89695454	0.5082422	0.12557757	0.2256918	0.68610775	0.027072482
0.28362554	0.62025553	0.99212766	0.6698402	0.4532051	0.62497747	0.21192813	0.07987344	0.12415022	0.08044875	0.38417983
0.60260975	0.5973916	0.287516	0.010924697	0.7708524	0.21629536	0.41652614	0.08075905	0.2179209	0.70857996	-0.18625042
0.034136534	0.21488017	0.8748651	0.24357563	0.29192203	0.35961312	0.71372956	0.17201519	0.5501327	0.70420134	-0.08405699
