x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	y
0.35901338	0.25629556	0.8153188	0.42430896	0.309385	0.9269381	0.71763456	0.7150148	0.20946455	0.42055273	0.8131343	0.50258374	0.42198902	0.7663607	0.8200621	0.1572097	0.81487596	0.096170485	0.9525758	0.56741476	0.03453318
0.43940842	0.8329002	0.64848316	0.053904116	0.8618688	0.09516615	0.15741104	0.5452358	0.81649876	0.4519164	0.79616976	0.06907779	0.56624275	0.060379267	0.787405	0.6140067	0.3656124	0.98484194	0.6381153	0.31563503	-0.44764245
0.748849	0.885571	0.8528364	0.20162451	0.26508683	0.17024022	0.13464695	0.6524468	0.35232407	0.93261117	0.12831444	0.44850224	0.5142315	0.68169487	0.84382075	0.47884005	0.9396584	0.15391326	0.49741572	0.86191577	-0.12558442
0.989224	0.59155494	0.4868483	0.79166985	0.14432973	0.66422886	0.762556	0.0027751327	0.24344367	0.6383287	0.6732278	0.16725934	0.48505676	0.904985	0.34155667	0.34900403	0.43202966	0.40104353	0.823182	0.86046803	0.9185758
0.5990621	0.20897114	0.022213101	0.116193295	0.15973747	0.47674203	0.4899134	0.66383845	0.18098587	0.5792035	0.25985342	0.7668247	0.23750925	0.57605124	0.15966934	0.7469724	0.21462518	0.32434434	0.42289078	0.16313726	0.1890569
0.38865286	0.46819335	0.54375905	0.78904694	0.23655075	0.8595164	0.29335648	0.3938012	0.4724056	0.62798357	0.9719423	0.8632213	0.5516566	0.06697923	0.3764199	0.8690274	0.16482776	0.27434218	0.30217373	0.27284145	-0.54902995
0.51572865	0.14435995	0.061989963	0.65449536	0.80667526	0.44563568	0.49556136	0.9720079	0.20435047	0.6849443	0.2985651	0.8456588	0.34457624	0.3498935	0.94686514	0.47233784	0.012694478	0.35863203	0.64122796	0.9274892	-0.21480045
0.849223	0.20333993	0.16218656	0.39164662	0.58576614	0.039350808	0.41120607	0.35075063	0.668088	0.6051911	0.39853132	0.79531467	0.97581744	0.6161094	0.543162	0.99307334	0.51944935	0.6835495	0.11836046	0.71052885	0.16506918
0.9329022	0.12507504	0.027654707	0.84690356	0.028304815	0.6843602	0.51003236	0.46865904	0.17010474	0.914017	0.9134572	0.59893984	0.60829586	0.82816327	0.84883904	0.66493684	0.871896	0.52435964	0.79296553	0.418725	0.71194315
0.041914046	0.5727088	0.5824413	0.8504555	0.32286936	0.6354655	0.008825779	0.03196466	0.5537754	0.7253881	0.23532003	0.89627284	0.34263104	0.6382556	0.14804292	0.45615548	0.67648745	0.9176736	0.4749018	0.79194754	0.17839874
