x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	y
0.461599	0.088888824	0.22179663	0.9436252	0.6019695	0.45504713	0.007511914	0.31049496	0.69433784	0.6572084	0.6447349	0.8422293	0.6877333	0.3443951	0.14999706	0.41073304	0.50473857	0.75527436	0.2690153	0.30628324	0.8795512	0.58020943	0.42140418	0.37478298	0.0035371184	0.29091233	0.92274237	0.89406365	0.51192737	0.4495713	0.6652879	0.5576762	0.31017923	0.22903687	0.08275467	0.3600014	0.75546384	0.89008904	0.787903	0.036843836	0.9760126	0.000184834	0.62099546	0.9074597	0.6002554	0.11866313	0.79799765	0.3159178	0.329513	0.08853227	0.026175389
0.64234114	0.8158952	0.63029814	0.5874988	0.0046247244	0.92292863	0.5611497	0.79779196	0.4494543	0.4591334	0.59610134	0.7346568	0.281466	0.34310818	0.4642052	0.06704342	0.8410236	0.712854	0.96771765	0.770786	0.71284306	0.56600946	0.01814574	0.0019785762	0.19595504	0.19143218	0.54685646	0.08565521	0.87601316	0.7226297	0.76935476	0.32203454	0.6251635	0.112071455	0.17969579	0.11091149	0.56359357	0.06889838	0.973217	0.7059205	0.55410767	0.03953868	0.55167687	0.21776342	0.52578324	0.49540073	0.09318435	0.15835291	0.16870481	0.24230069	-0.13095102
0.6365801	0.9653788	0.60503685	0.5498263	0.6006132	0.9172157	0.72386545	0.95431995	0.99217767	0.4996959	0.3758828	0.7653829	0.47210282	0.9197529	0.5184418	0.08470696	0.7968512	0.25255722	0.76510435	0.030635893	0.6115665	0.68890584	0.0041365027	0.3943382	0.6504171	0.5999517	0.74620837	0.99387074	0.048347056	0.37324876	0.29310828	0.7254736	0.72054183	0.6450943	0.7659253	0.19233125	0.20510787	0.3005818	0.701822	0.5987984	0.28715432	0.73216313	0.18135124	0.18581837	0.06406695	0.62881786	0.23211515	0.99190384	0.3595904	0.58142346	0.20073654
0.8724784	0.61723244	0.043832302	0.372132	0.98058456	0.6488273	0.15776187	0.45923662	0.53958696	9.1314316e-05	0.06884807	0.79186153	0.056245208	0.9614205	0.14355218	0.94930977	0.75695556	0.49393612	0.72330374	0.8393827	0.06852746	0.78665847	0.36212838	0.34560966	0.28120655	0.5522838	0.9749087	0.092054725	0.6757681	0.48426402	0.45242888	0.32615376	0.39514577	0.38267618	0.65653247	0.4112581	0.017039299	0.06892002	0.3622777	0.15952665	0.96707815	0.28074694	0.6297785	0.3947724	0.49367005	0.04019779	0.5742298	0.38740844	0.7786582	0.8851515	-0.6031292
0.065834045	0.35053068	0.024543285	0.037864745	0.6691617	0.4392149	0.0069770813	0.84645957	0.9397711	0.7064476	0.7865113	0.022951901	0.9496602	0.21158135	0.8212364	0.23788404	0.30341107	0.8814783	0.8384075	0.85382134	0.5021447	0.04545951	0.2360422	0.55509293	0.49706066	0.97102976	0.9616345	0.9106968	0.22706729	0.44236302	0.65411234	0.9365894	0.22536856	0.25155628	0.064186275	0.27574694	0.38154548	0.15666956	0.4499284	0.6228084	0.6789503	0.13989127	0.863262	0.1758663	0.93300843	0.3512531	0.011169493	0.4292478	0.7574217	0.06314075	0.9291191
0.23354661	0.4069236	0.3048123	0.87871736	0.77490777	0.94369733	0.5417581	0.05476266	0.11983633	0.43511444	0.4852742	0.92258567	0.8591995	0.3359819	0.39644545	0.4010793	0.68220776	0.37018883	0.53617173	0.74704725	0.87616354	0.44105285	0.15460181	0.055844307	0.750695	0.32318997	0.95411867	0.47850686	0.80725604	0.016140819	0.095096886	0.73178655	0.4427464	0.10290885	0.45675588	0.33497947	0.07238573	0.5210729	0.4153933	0.7940064	0.5246371	0.64941794	0.07900429	0.020282328	0.87628216	0.72484565	0.003591001	0.9725522	0.8083334	0.21310037	0.07185454
0.5907534	0.24689263	0.9554011	0.56857115	0.8135155	0.04586464	0.7660061	0.36977613	0.95693046	0.9507384	0.48327428	0.8936461	0.8077851	0.28159767	0.44408023	0.61876065	0.24006873	0.95003337	0.4601885	0.7785227	0.19996488	0.5622916	0.57922083	0.5812873	0.021542192	0.15422279	0.7688977	0.3545441	0.16987216	0.38133854	0.6353668	0.05041486	0.42516422	0.19717318	0.2939701	0.75625205	0.9855806	0.92193955	0.46378702	0.22809952	0.63594985	0.28986174	0.6723559	0.7340086	0.9990043	0.06755149	0.75593644	0.9750859	0.21555543	0.1608246	0.04577022
0.19549757	0.3305546	0.10900229	0.04783702	0.6946606	0.71465224	0.8297134	0.5758262	0.23621416	0.7449643	0.29369134	0.54859126	0.49095577	0.079033494	0.91720444	0.5226507	0.6798737	0.3394847	0.47767138	0.08457208	0.863134	0.31671548	0.32075852	0.5142952	0.6721107	0.31806618	0.09681457	0.29270387	0.8414528	0.13749355	0.4229257	0.28558606	0.28637332	0.02451688	0.6061532	0.21920192	0.5562053	0.82997715	0.42972046	0.057488978	0.8301571	0.80317974	0.7333701	0.526147	0.38116395	0.41192192	0.4775895	0.05530423	0.6105327	0.8343085	0.051157195
0.6889321	0.90090835	0.57368785	0.1339649	0.513734	0.53702766	0.45857847	0.34651518	0.030073643	0.58574015	0.3425749	0.025128365	0.8779244	0.8416229	0.88601005	0.22666007	0.32329315	0.017341495	0.94855505	0.6909556	0.67866254	0.927576	0.05575627	0.10350472	0.14773166	0.13363057	0.6331787	0.1356979	0.47656262	0.47442025	0.6674305	0.1134032	0.38675523	0.04420489	0.13084406	0.92829365	0.008995891	0.8185343	0.4296345	0.32561523	0.91903055	0.06122321	0.2898383	0.91201496	0.67659265	0.50312674	0.33969557	0.1286977	0.86605483	0.63748246	-0.8902292
0.38234556	0.9482778	0.033504605	0.966474	0.4202037	0.9161169	0.62754416	0.9126075	0.6623818	0.86584294	0.4182489	0.13219237	0.66880894	0.8691152	0.7617437	0.4716589	0.9794122	0.43586951	0.7847072	0.15031797	0.8098798	0.18110424	0.6844723	0.93630135	0.83142996	0.60484934	0.21445066	0.83906853	0.5196642	0.16880107	0.043647707	0.3841408	0.056109846	0.45184177	0.456277	0.12720078	0.92952824	0.35297275	0.37727398	0.38707727	0.4042129	0.048759818	0.83273435	0.3233046	0.618812	0.6199165	0.58805627	0.31819528	0.88834065	0.98297065	0.66963816
0.68479896	0.7991156	0.853655	0.18114966	0.7587313	0.9149787	0.0008625984	0.6005056	0.04311794	0.25386196	0.47368574	0.27466434	0.6874741	0.21802431	0.06532329	0.81602263	0.3874426	0.06691736	0.34738022	0.5520853	0.4666837	0.79590005	0.06140995	0.7500462	0.19160938	0.037581623	0.4423008	0.6279683	0.34208584	0.5653866	0.92353135	0.93848544	0.51146156	0.4568327	0.4247787	0.8741817	0.14358723	0.0480842	0.10237563	0.5721031	0.8119715	0.014901042	0.6022723	0.54994565	0.452538	0.50186414	0.7401627	0.8330677	0.45375288	0.80223346	-0.4206207
