x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	y
0.7000869	0.19913942	0.44639248	0.07575524	0.8748906	0.19968247	0.47264707	0.2999124	0.78262967	0.14810896	0.060169756	0.649723	0.21140093	0.9501118	0.10175371	0.11212015	0.6586657	0.19514173	0.049964488	0.37469256	0.3680911	0.16446233	0.06138891	0.9520386	0.64279205	0.56212205	0.69320726	0.15986514	0.04930246	0.6085907	0.30392712	0.7103887	0.4146014	0.5490041	0.379802	0.7065067	0.89738965	0.9653766	0.86874175	0.44747573	0.7354168	0.8791107	0.476978	0.5951105	0.66920805	0.01036036	0.082928896	0.13476074	0.58151346	0.9874807	-0.27366117
0.06497818	0.9592336	0.16946149	0.9512849	0.51322037	0.91656137	0.7016144	0.4998514	0.91359395	0.46664846	0.10500485	0.06840438	0.1409269	0.8506914	0.19661331	0.13777846	0.83623844	0.7506912	0.026379466	0.8812884	0.624524	0.9460285	0.63597965	0.46687388	0.70738816	0.35210454	0.86828613	0.13453615	0.8870071	0.2921989	0.046276093	0.63664156	0.7869531	0.045590103	0.26960635	0.92108434	0.08269733	0.37951022	0.7922521	0.5235465	0.43097872	0.257213	0.5446126	0.6002298	0.54383606	0.37068677	0.053945184	0.33094978	0.59889525	0.6424611	-0.47395757
0.28217757	0.517212	0.7668128	0.1039474	0.74156207	0.99245536	0.87506247	0.067114234	0.55228907	0.91795874	0.6929902	0.742741	0.047780275	0.11334157	0.5018224	0.54148567	0.31486624	0.3348081	0.4868101	0.0092538	0.74943244	0.2561046	0.36456567	0.80595326	0.8783975	0.27892435	0.8669156	0.283238	0.1288287	0.15658009	0.31300908	0.873045	0.075496376	0.16772413	0.45800477	0.772972	0.4265222	0.5212764	0.82272995	0.72416866	0.49602222	0.86973673	0.4315455	0.41713828	0.60164535	0.44673133	0.12035996	0.0023456216	0.09016216	0.9594601	0.69414395
0.8705654	0.4980622	0.48780924	0.71766824	0.46664464	0.2506981	0.3153746	0.678688	0.9132381	0.5773421	0.6888449	0.21666127	0.46066368	0.31007808	0.17014319	0.22426713	0.57687443	0.36697388	0.4037962	0.06904197	0.8763688	0.65204	0.74524873	0.15662074	0.7810905	0.09363198	0.6497556	0.2354855	0.91559976	0.7867333	0.8731121	0.081513524	0.71298456	0.1436131	0.83241963	0.84324443	0.65428966	0.045089304	0.8074677	0.32969457	0.24049461	0.50272375	0.52218103	0.9364948	0.14085895	0.47273946	0.709288	0.6031542	0.04504615	0.32040232	-0.7146837
0.45649737	0.7504992	0.6979037	0.36384553	0.73789054	0.919451	0.17587781	0.31524307	0.97142833	0.9801621	0.46194768	0.5470778	0.37977302	0.67774194	0.8521842	0.034697175	0.27397	0.46257037	0.5595042	0.6004883	0.04132092	0.02005434	0.57441926	0.99503356	0.591962	0.31218463	0.104081035	0.08423746	0.11706263	0.23246366	0.196706	0.78078204	0.7991493	0.50123626	0.3756135	0.19221783	0.80100405	0.62356776	0.70444876	0.42161584	0.123441875	0.32443178	0.63840455	0.8678785	0.19832873	0.28444576	0.034601152	0.92455196	0.9268026	0.13689005	0.23899904
0.64898396	0.4489327	0.33075875	0.12819237	0.7368698	0.7519893	0.75283295	0.16021448	0.33340973	0.2671752	0.73339206	0.7174629	0.57873905	0.48684555	0.81128645	0.21127999	0.22729903	0.005538404	0.6799328	0.017268896	0.9053495	0.5697488	0.19963169	0.72087926	0.17221212	0.5857284	0.0018292665	0.29351145	0.34215188	0.59332514	0.83955675	0.9550747	0.5576344	0.114136696	0.34986776	0.99725324	0.55753136	0.60295534	0.31340975	0.69994813	0.8538787	0.8472282	0.920615	0.2830571	0.5219206	0.38667405	0.57211864	0.2561586	0.7732203	0.5202924	-0.3131603
0.11112207	0.39800817	0.944417	0.315206	0.58225566	0.18827909	0.24026215	0.13714325	0.27555722	0.5058538	0.940849	0.6134988	0.1987713	0.19404793	0.15113372	0.592705	0.93176943	0.1856237	0.48987103	0.7424184	0.8124091	0.634292	0.5516848	0.11682296	0.61671346	0.44342846	0.21252173	0.88957024	0.37499678	0.15072268	0.9307592	0.13251722	0.5612123	0.91420245	0.5670014	0.23403174	0.43364412	0.666295	0.6755141	0.350272	0.33677566	0.8593733	0.3279481	0.6247224	0.6878388	0.6985002	0.8976759	0.70056	0.6117911	0.48731148	0.34818804
0.43858814	0.74711305	0.34809119	0.23701471	0.37492877	0.93171513	0.30507547	0.7422664	0.33885455	0.6652335	0.10296488	0.24008238	0.12987053	0.6430226	0.6007014	0.81887084	0.77651656	0.8560308	0.09120691	0.13450044	0.46370322	0.58398473	0.5728505	0.15759176	0.52359617	0.026374102	0.7058327	0.60091764	0.16634613	0.58984274	0.19964617	0.1575386	0.60158	0.5416581	0.22658914	0.15534502	0.5657664	0.84300584	0.1566447	0.71082497	0.42852908	0.30113488	0.38784975	0.97913295	0.75499415	0.3146485	0.46944207	0.7256279	0.25079167	0.009565055	-0.6812967
0.051572204	0.28916472	0.97902095	0.70093614	0.73238695	0.52509975	0.8113672	0.4311244	0.30448508	0.2663762	0.063075304	0.90214807	0.4988258	0.04219812	0.17229015	0.72798806	0.6755177	0.33249885	0.31758583	0.09278625	0.5858693	0.5269775	0.22162944	0.30178165	0.7750258	0.9099781	0.55704343	0.97649217	0.120250046	0.33886826	0.96853125	0.4785849	0.52008665	0.16892642	0.12010074	0.3168149	0.008273244	0.12374562	0.9734685	0.44168293	0.3097254	0.6485615	0.35756046	0.27221632	0.03985721	0.41600865	0.7612396	0.41841632	0.012209952	0.52800214	0.14013384
0.51370305	0.2622521	0.16253269	0.74413985	0.07517141	0.040123224	0.29910284	0.7163219	0.45117712	0.14325088	0.039622486	0.77006364	0.57108504	0.9309051	0.6242157	0.13824153	0.07739711	0.65522206	0.6664257	0.65548354	0.41386563	0.4626969	0.02534008	0.08219916	0.28133482	0.922267	0.9448201	0.26527572	0.88174105	0.32978165	0.18833888	0.016747475	0.59605277	0.21433908	0.800452	0.7600564	0.031247497	0.38766688	0.09268123	0.13457406	0.36876523	0.29388356	0.28364956	0.49542922	0.29890698	0.89530885	0.781656	0.9671391	0.1982491	0.1588093	-0.3491186
