x1	x2	x3	x4	x5	y
0.37521976	0.7183267	0.44521058	0.35592186	0.98352796	-0.53554785
0.3495559	0.6329702	0.12875962	0.9697068	0.07301831	-0.29018438
0.77967554	0.45520312	0.39553076	0.25401747	0.61244357	0.8099288
0.12502867	0.76594424	0.043343842	0.009642065	0.8924818	-0.29377884
0.6560161	0.5127952	0.87303567	0.4154094	0.3570912	0.6886584
0.04337734	0.905329	0.17233986	0.4945441	0.025674582	-0.77629656
0.3890512	0.32145768	0.0607	0.090069056	0.36192614	0.49378812
0.60495245	0.9366515	0.3269462	0.7898948	0.47899455	-0.71651685
0.55242825	0.85466266	0.9166257	0.81195617	0.4534809	0.16412207
0.02130884	0.017285883	0.7904003	0.8690135	0.82543916	-0.15576202
0.9526592	0.10643971	0.61293674	0.18917513	0.5375964	0.94638085
0.37264484	0.5443938	0.98308486	0.17193788	0.3995505	0.3665482
0.5142806	0.4748513	0.13565272	0.4057787	0.0067566037	0.29116416
0.36388105	0.88340133	0.06195122	0.49920636	0.9074066	-1.3983183
0.35751837	0.7207604	0.3453887	0.0916363	0.36046022	-1.5189799
0.3239929	0.9224752	0.3086943	0.7601204	0.082490444	-0.6982714
0.9716937	0.6742009	0.032662153	0.016468346	0.60729486	0.74033225
0.18982482	0.56304866	0.5190218	0.6351742	0.63348836	-0.79398346
0.34190255	0.45769215	0.6523748	0.5684779	0.9138564	-0.19331147
0.4866839	0.31285262	0.40566427	0.8833053	0.4045	0.19281036
0.7542049	0.9127076	0.15441221	0.8494381	0.22740597	-0.7489087
0.92263526	0.16541535	0.08533919	0.06910789	0.4195543	0.34121558
0.57528543	0.6754642	0.24857861	0.33254457	0.6305503	-1.1129626
0.94776386	0.33533645	0.9585238	0.31075782	0.19526845	1.0580195
0.9125598	0.29738855	0.36686516	0.7953505	0.95125085	0.991852
0.75286055	0.69886273	0.4771468	0.25207525	0.9819851	-0.17966706
0.16430753	0.81056386	0.78200793	0.18527883	0.8833134	0.18671328
0.081121385	0.9022491	0.038313746	0.49417317	0.2871681	-0.92153114
0.805779	0.035550714	0.6370599	0.112919986	0.4445628	0.18081908
0.5152373	0.5715648	0.59368867	0.24623024	0.40657258	-0.03169
0.6377761	0.70900744	0.45454013	0.07763839	0.3786927	-0.8379479
0.8788403	0.5694025	0.49344355	0.06050545	0.73601604	-0.04543522
0.0037338138	0.6134714	0.9727751	0.67277974	0.51167744	0.38033396
0.980089	0.3897798	0.71527725	0.54757047	0.8946051	-0.65900725
0.3164881	0.12153053	0.71438795	0.94470704	0.93641347	0.1048079
0.5212626	0.032091737	0.67643106	0.49884713	0.6577164	1.3270731
0.607236	0.55320513	0.606512	0.32226962	0.0029461384	-0.17644806
0.86136204	0.5934703	0.48860532	0.7070538	0.32093668	-0.6589833
0.14276212	0.50613767	0.3887506	0.09345031	0.19492179	0.22907081
0.42048043	0.911421	0.91808355	0.075843275	0.31904364	1.7879333
0.3945582	0.3885178	0.049173713	0.7563826	0.31742162	0.9009504
0.19930398	0.4180293	0.7177088	0.4762448	0.8492808	-1.0350842
0.87152267	0.7765108	0.425133	0.035215795	0.34709018	0.68154854
0.8740806	0.9392539	0.920541	0.8319038	0.24146008	-0.82298535
0.38422734	0.7890714	0.767712	0.48593515	0.3868143	0.9662445
0.41214812	0.7941773	0.23408163	0.02935046	0.9425425	-1.362643
0.16547102	0.2693665	0.43943304	0.4628963	0.62245655	-0.93005216
0.5702445	0.8524796	0.07799864	0.2874887	0.2927724	-2.0565507
0.50268245	0.35553902	0.0679692	0.10122007	0.80743486	0.11543718
0.8327793	0.045261085	0.4365608	0.5017239	0.47955757	-0.042811926
0.5849235	0.85868114	0.39865202	0.537211	0.27853793	-1.3010253
0.10454422	0.23942274	0.5376202	0.8733549	0.09179759	-0.018002745
0.96617126	0.39713258	0.73361075	0.98433656	0.7973995	-0.8792227
0.910147	0.25140607	0.18503201	0.09218329	0.8345867	-0.11473813
0.9557323	0.75036967	0.12672698	0.76968455	0.123129666	1.0631653
0.13749242	0.21150792	0.9721405	0.095087826	0.81204045	-0.7890539
0.1952151	0.29309034	0.91814	0.2500645	0.6105486	-0.33552754
0.6316624	0.26842242	0.30554014	0.17316186	0.16470248	2.156362
0.4829195	0.8496517	0.63642985	0.2568596	0.7641928	0.67816657
0.99080664	0.48336136	0.9669349	0.16633469	0.70917046	0.1585603
0.42724174	0.409113	0.22203678	0.9321064	0.31971717	0.24954483
0.39166898	0.7131451	0.79712164	0.08737469	0.6218039	0.9050414
0.851071	0.65589213	0.8715553	0.38469058	0.6313834	-0.58645666
0.051538706	0.48034066	0.8856084	0.76684856	0.093471885	1.1339982
0.35862488	0.88023573	0.87937266	0.4452477	0.7059874	1.0641602
0.22201788	0.7803508	0.05588752	0.6338113	0.33890605	-1.7933509
0.6312691	0.8694616	0.65525025	0.46155518	0.10487294	-0.7037326
0.21326506	0.87984437	0.106416106	0.08732176	0.12513381	-2.6679552
0.46550184	0.16632766	0.46294612	0.12699449	0.6173629	1.6202205
0.79783547	0.30723208	0.77257127	0.585514	0.8735542	-0.4149928
0.38974667	0.12071657	0.540332	0.60689425	0.06513727	2.1193166
0.075098336	0.7596411	0.66422355	0.7773198	0.9591104	-0.40026027
0.3896513	0.53838974	0.5451493	0.7303454	0.19470781	0.07367849
0.8850478	0.84244835	0.82493603	0.37522912	0.672623	-0.7493311
0.57541317	0.8810071	0.7949275	0.6789769	0.310737	-0.13734095
0.33752656	0.83620644	0.4055966	0.8865649	0.43169063	-0.4383934
0.19216645	0.76030827	0.9405689	0.3777631	0.80365103	-0.08652659
0.0692181	0.3494758	0.24331057	0.4433115	0.89314324	-1.1378158
0.024085045	0.997794	0.5627455	0.16454816	0.2335518	-1.4702549
0.64205146	0.8463225	0.5994773	0.21495283	0.25932318	-0.6180239
0.931918	0.90070397	0.917374	0.94416326	0.5332024	-0.69564945
0.89910173	0.69733727	0.40689343	0.33788264	0.106874526	0.11030387
0.29866928	0.5738521	0.31837374	0.48798716	0.7625134	-0.79491824
0.6761526	0.79759425	0.024742246	0.5498767	0.8358769	-1.5937752
0.22914225	0.53012943	0.101183176	0.93935984	0.06252617	0.10693664
0.664805	0.14797616	0.4433998	0.8601178	0.18268311	0.9733981
0.13159597	0.5077007	0.23521543	0.84398097	0.06507397	-0.110434406
0.19829524	0.97919846	0.52801955	0.9599616	0.12390274	-0.2357793
0.3107708	0.26743668	0.7389685	0.008199394	0.2516083	-0.20016661
