x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	y
0.24699825	0.11490321	0.19227755	0.37995422	0.82846826	0.3040588	0.51811355	0.3486572	0.547889	0.97437704	-1.1190432
0.5173971	0.1652224	0.06872338	0.26899004	0.9357607	0.2735172	0.021599174	0.41503423	0.52950794	0.9758596	-1.1001838
0.5968171	0.5490797	0.08757478	0.3411355	0.4371854	0.48783284	0.6423793	0.7281157	0.51528335	0.5613216	0.9057417
0.6035735	0.9517416	0.45412767	0.9012201	0.029785752	0.68640316	0.31478953	0.09644294	0.596655	0.7228136	0.6423016
0.24895245	0.28437263	0.7156763	0.7221404	0.12396747	0.5077769	0.4523542	0.8777683	0.82898587	0.2255525	0.08141214
0.36482596	0.45788485	0.004530132	0.51838696	0.88715106	0.96322	0.58444685	0.6769	0.5593787	0.660155	-1.1119939
0.601238	0.7944317	0.83860457	0.7039505	0.012694538	0.045533538	0.6073027	0.20417178	0.30381525	0.23813385	1.0445269
0.4221108	0.93714887	0.35731715	0.5485997	0.20570481	0.06454837	0.19752753	0.0984413	0.14503527	0.43144488	0.42377773
0.73704433	0.61012816	0.9148004	0.93523186	0.787114	0.6569392	0.25062293	0.8597646	0.70920074	0.026742458	0.14078642
0.8670274	0.09104341	0.75354177	0.91573983	0.7124823	0.05916488	0.6269777	0.5905396	0.6248481	0.47762728	1.1725677
0.062362134	0.27180082	0.40863097	0.5788389	0.98096746	0.37364155	0.3374384	0.62057906	0.06354648	0.75678325	0.4422231
0.2505747	0.15278506	0.054312706	0.9117573	0.97757417	0.7288393	0.37603492	0.9183203	0.41874534	0.30295622	-0.14210145
0.36709076	0.9565746	0.10786289	0.016968548	0.7179646	0.89822316	0.079185486	0.17746997	0.4327426	0.6642628	-0.6872891
0.83854544	0.24952394	0.25752974	0.6031394	0.8685694	0.47857422	0.41352272	0.37442666	0.97121763	0.15303373	1.6918472
0.09976202	0.9450458	0.5535205	0.24144977	0.019358814	0.4254306	0.5297395	0.45501298	0.5595594	0.8319265	-0.15545428
0.99812037	0.5890901	0.29253882	0.37034404	0.09419066	0.45050025	0.84720695	0.77569216	0.11976987	0.8836567	-0.17378815
0.42651248	0.37925702	0.86163396	0.67861634	0.2552951	0.029515505	0.1360938	0.9164735	0.24227428	0.74800086	-0.31798607
0.32522953	0.88117564	0.85913527	0.71274006	0.31570774	0.7191589	0.79540145	0.28047973	0.35842693	0.811154	0.4523357
0.9732211	0.23282963	0.64244604	0.81217504	0.89076436	0.5894057	0.9328611	0.05866623	0.025717735	0.5550696	0.7532867
0.4417855	0.7437696	0.6093722	0.5346724	0.20906281	0.44109887	0.5495677	0.60096776	0.3084073	0.79344594	0.4567239
0.35026097	0.9984905	0.5463897	0.9401624	0.55134815	0.10643315	0.5406033	0.815263	0.7580772	0.84750843	-0.106235564
0.42496693	0.6043045	0.5039577	0.31272507	0.3385859	0.986435	0.23351532	0.43034875	0.95249856	0.22369963	-0.9078548
